diameter,height,length,rings,sex,shell-weight,shucked-weight,viscera-weight,whole-weight
73.0,19.0,91.0,15.0,0.0,30.0,44.9,20.2,102.8
53.0,18.0,70.0,7.0,0.0,14.0,19.9,9.7,incons
84.0,27.0,106.0,9.0,1.0,42.0,51.3,28.3,135.4
73.0,incons,88.0,10.0,0.0,80.33922311879681,43.1,22.8,103.2
51.0,16.0,66.0,7.0,3.0,11.0,17.9,7.9,41.0
60.0,19.0,85.0,8.700099458911764,0.44017772462968796,24.0,28.2,15.5,70.3
83.0,30.0,106.0,7.738853870891148,incons,66.0,incons,28.3,155.5
85.0,25.0,109.0,11.052266920800179,1.0,47.106478674075944,58.8,29.9,153.6
74.0,25.0,95.0,9.0,0.0,33.0,43.3,22.5,101.9
88.0,30.0,110.0,8.9288122536346,1.0,64.0,62.9,30.2,178.9
76.0,28.0,105.0,14.0,1.0,42.0,38.8,29.5,121.3
70.0,22.0,86.0,10.0,0.7845505334209573,27.0,33.5,16.2,81.2
76.0,27.0,98.0,11.0,0.0,38.0,43.5,19.0,108.3
81.0,29.0,107.0,10.0,1.0,41.0,54.5,34.2,136.9
71.0,20.0,94.0,10.0,1.0,37.0,33.5,16.1,95.1
76.9569102828839,26.056354231803947,100.0,12.0,0.0,48.0,51.6,26.6,132.9
56.0,17.0,71.0,incons,1.2809797107672902,23.0,19.0,7.9,58.1
68.0,20.0,88.0,10.0,1.0,26.0,37.6,-0.10004841044149515,184.93705653425397
59.0,16.0,73.0,7.0,incons,20.0,19.4,8.6,51.1
64.0,20.0,90.0,incons,3.7833001097535544,41.23882273697565,-49.55000000000001,15.0,76.2
56.0,19.0,71.0,11.0,0.0,32.67368396258003,19.1,12.4,49.1
55.0,20.0,76.0,10.0,3.0,17.0,16.0,9.8,incons
88.0,31.0,113.0,12.0,1.0,54.0,85.5,42.8,187.9
83.0,27.0,incons,9.0,1.0,40.0,63.6,42.0,152.7
96.0,33.0,123.0,10.0,1.0,61.0,102.6,60.2,232.3
